id_sesion,fecha,spot,altura_ola_m,periodo_s,direccion_swell,viento_kmh,direccion_viento,marea,temp_agua,num_surfistas,valoracion,buena_sesion
S100895,2024-07-12,Somo ,0.84,8.4,275,27.0,S,baja,17.8,17,4,Yes
S101458,2022-11-30,Zarautz,1.23,10.5,272,20.1,NW,alta,14.7,23,3,No
S101087,2023-03-22,Rodiles,0.45,10.3,257,6.7,S,media,14.5,11,5,Yes
S101183,2023-06-23,sopela,0.88,8.7,354,22.7,E,media,15.0,23,3,No
S101447,2023-09-24,Rodiles,0.86,18.9,340,2.5,N,baja,18.0,20,4,No
S100455,2023-02-23,somo,0.78,11.4,312,23.1,NW,alta,22.3,15,3,No
S100972,2023-03-16,Sopela,2.06,8.4,298,7.4,S,alta,14.2,18,4,Yes
S101667,2023-10-29,PANTIN,1.15,12.3,266,7.7,E,baja,14.0,29,4,No
S100848,2023-07-09,Pantin,0.97,7.9,293,,E,alta,17.6,18,3,No
S100898,2024-12-23,MUNDAKA,1.69,11.6,258,18.1,NW,alta,18.6,24,5,No
S101715,2023-09-29,Rodiles,3.64,12.2,339,28.5,NW,baja,15.1,34,2,No
S101242,2023-04-09,Rodiles,0.41,15.0,274,25.1,E,media,14.5,19,4,No
S100471,2022-12-29,Pantin ,0.2,10.6,334,8.8,SW,media,19.7,22,5,Yes
S100108,2024-02-29,Sopela,1.85,8.5,306,31.1,SE,baja,16.5,26,4,Yes
S101229,2024-02-25,Zarautz,1.92,13.2,341,29.9,SE,alta,19.8,23,4,Yes
S101126,2024-11-08,Rodiles,0.2,13.7,300,22.1,N,alta,22.8,15,4,No
S100688,2024-05-21,Sopela,2.0,9.8,322,17.1,N,baja,15.3,21,3,No
S101824,2024-09-02,Pantin,1.26,12.9,279,7.1,E,media,15.4,21,4,No
S101348,2024-12-11,pantin,0.94,5.8,314,13.7,SE,media,16.7,23,3,No
S100127,2024-11-03,Pantin,0.35,12.3,250,14.4,E,media,19.8,20,4,No
S100397,2023-01-17,Zarautz,0.97,12.8,312,12.8,S,alta,14.2,19,4,Yes
S100527,2023-11-04,Mundaka,2.33,14.4,264,43.8,E,baja,14.7,27,3,No
S100731,2023-06-25,SOPELA,1.07,9.6,352,10.7,NW,alta,21.8,21,4,No
S101281,2023-05-07,Pantin ,2.54,5.8,269,8.4,S,baja,18.3,29,3,No
S101542,2023-07-31,Mundaka,0.43,11.8,277,3.4,,alta,17.1,17,5,Yes
S101743,2023-03-03,Mundaka,1.05,9.0,297,15.3,S,media,16.0,16,5,Yes
S101005,2022-09-01,Rodiles,0.99,11.7,299,10.3,N,media,21.8,18,4,No
S100506,2025-01-01,Somo,0.75,8.9,320,28.1,N,media,16.1,24,4,No
S100869,2022-11-08,Mundaka,1.77,9.0,302,32.4,SE,baja,17.3,19,4,Yes
S101215,2023-04-10,mundaka,2.18,10.3,343,3.9,NE,baja,14.8,20,4,No
S100396,2024-01-22,Mundaka,0.36,10.4,253,10.9,S,baja,17.2,14,4,No
S100971,2024-07-06,Sopela,0.98,9.5,320,7.0,E,alta, ,19,4,No
S100953,2024-09-14,Sopela,0.6,8.4,325,9.4,E,alta,15.2,18,3,No
S101922,2023-12-20,Pantin ,0.9,8.9,260,8.7,E,baja,17.0,20,3,No
S100623,2024-12-22,sopela,0.77,13.6,358,6.7,SE,media,11.0,22,4,Yes
S100602,2023-11-02,Pantin,0.54,10.0,308,9.1,,media,17.1,27,4,No
S101227,2024-11-10,RODILES,3.82,4.6,273,17.7,NW,media,16.4,36,2,No
S100983,2022-09-03,Somo,2.33,9.7,327,22.3,E,baja,15.2,30,3,No
S100705,2022-10-05,Somo,2.87,13.1,255,17.5,S,baja,13.7,30,3,No
S101941,2025-01-06,Zarautz,0.82,5.0,324,37.4,N,alta,14.3,17,3,No
S101815,2024-11-02,Mundaka,1.41,7.5,273,19.4,S,baja,15.5,17,4,Yes
S101309,2023-06-13,Rodiles,0.42,9.3,256,8.7,W,alta,13.6,16,4,No
S101489,2022-11-21,Somo,1.22,6.0,301,21.0,NW,baja,17.3,20,3,No
S100863,2024-01-15,Pantin,1.15,10.9,336,12.6,SW,media,16.7,21,4,Yes
S100110,2024-10-18,zarautz,0.95,11.8,320,6.3,NE,media,18.6,26,4,No
S101073,2023-03-25,Somo,1.88,7.0,308,2.3,N,baja,16.9,25,4,No
S100241,2023-01-24,Somo,0.9,9.4,274,4.4,NW,baja,18.6,19,3,No
S101084,2023-12-31,Zarautz,3.08,10.3,314,11.2,E,alta,17.4,44,3,No
S101842,2024-10-18,Pantin,2.35,15.2,333,38.3,SW,alta,21.1,26,4,Yes
S100525,2022-11-04,Zarautz ,2.68,7.0,252,15.5,W,baja,17.3,31,3,No
S100196,2024-03-11,Sopela,0.92,12.2,343,32.4,N,media,20.6,16,4,No
S101863,2024-02-10,sopela,0.77,5.1,322,20.6,S,baja, ,16,4,Yes
S100386,2023-11-12,Mundaka,1.91,8.2,335,16.2,SE,alta,13.2,30,4,Yes
S101238,2023-05-14,Zarautz,1.24,11.3,314,5.3,NE,baja,16.3,17,4,No
S101898,2024-10-10,Pantin,0.89,10.4,308,2.8,NE,baja,16.4,24,4,No
S100637,2022-11-17,Zarautz,1.83,9.1,272,8.6,S,media,13.6,33,4,Yes
S100720,2024-10-15,MUNDAKA,2.29,10.7,309,25.0,NW,baja, ,27,4,No
S100829,2023-05-28,Mundaka,1.82,7.7,271,4.8,NW,media,19.7,29,3,No
S100635,2022-12-01,Pantin,0.2,10.6,292,23.0,NE,baja,16.4,25,3,No
S100426,2025-01-25,rodiles,1.86,9.9,344,28.0,NE,baja,20.3,21,3,No
S100595,2023-11-22,Pantin,0.5,6.5,344,38.1,NE,media,19.4,16,3,No
S101413,2023-06-26,Pantin,3.39,4.4,280,31.1,NW,alta,12.8,32,2,No
S100298,2023-05-25,Zarautz,0.76,7.0,280,,W,baja,14.1,19,3,No
S100037,2023-06-21,Pantin,0.85,9.9,341,38.2,N,baja,19.1,27,3,No
S101159,2022-11-06,SOPELA,1.87,8.3,336,30.8,W,baja,13.6,22,3,No
S100765,2024-12-09,PANTIN,0.98,10.5,257,15.3,SE,alta,19.2,19,4,Yes
S101247,2024-09-21,Sopela,1.11,13.7,296,,N,media,17.3,19,4,Yes
S100817,2023-11-30,Mundaka,1.54,10.8,258,4.8,SE,alta,16.2,23,5,No
S100140,2023-06-13,Rodiles,0.84,10.3,254,17.0,,alta,13.1,17,4,Yes
S100058,2024-03-30,Pantin,0.54,12.0,302,6.1,,baja,17.8,21,3,No
S101504,2024-07-13,Somo,1.16,11.4,309,44.3,S,alta,16.1,24,5,Yes
S101719,2022-11-13,Somo,1.76,11.6,287,36.2,NW,media,13.3,34,3,No
S101961,2022-11-18,Rodiles,0.4,6.9,337,4.0,S,media,19.7,23,3,No
S101221,2024-04-13,Somo,0.93,8.8,349,,SE,media,21.8,22,5,No
S101650,2023-07-28,Zarautz,1.18,9.2,297,7.5,S,baja,21.5,19,4,Yes
S101332,2023-07-03,Sopela,2.51,9.5,319,13.6,SW,media,16.4,33,4,Yes
S100698,2023-06-24,Mundaka,1.56,8.9,339,17.6,N,media, ,25,4,No
S100856,2024-05-15,Zarautz,1.05,12.9,293,3.3,SW,baja,12.1,35,4,No
S100034,2023-04-12,Rodiles,1.4,13.8,342,13.9,SW,alta,15.6,23,4,Yes
S100603,2023-06-15,Mundaka,2.21,10.3,302,33.5,N,alta,18.2,28,4,No
S101668,2023-05-15,Somo,0.9,5.5,329,36.3,W,baja,12.5,17,3,No
S101931,2022-11-21,Sopela ,2.23,13.9,322,8.6,NW,baja,14.2,26,4,Yes
S101047,2023-08-09,Somo,1.27,9.8,282,9.9,,media,17.8,24,4,Yes
S101182,2022-10-25,Pantin,0.72,13.2,319,17.3,SE,alta,21.4,21,4,Yes
S101883,2023-02-15,Rodiles,0.69,11.7,311,2.4,NE,baja,14.6,17,4,No
S100259,2024-12-28,Somo,0.31,11.5,255,18.7,S,alta,15.0,21,4,Yes
S101973,2023-03-18,Sopela,2.19,6.9,353,22.0,E,alta,19.4,24,3,No
S101798,2024-01-05,Sopela,0.69,9.3,264,9.3,S,media,16.5,14,4,No
S100649,2024-02-26,Rodiles,1.66,6.4,342,5.3,NW,baja,14.5,25,3,No
S101777,2024-12-15,Mundaka,1.08,11.9,300,40.1,SE,media,19.6,21,4,Yes
S100658,2024-02-04,Mundaka,1.84,7.0,332,31.6,W,alta,14.8,27,4,No
S101642,2023-09-11,Sopela,1.81,9.6,252,37.4,S,baja,16.2,17,5,No
S101165,2023-08-28,Mundaka,1.1,7.8,253,12.4,E,media,18.6,22,4,No
S101537,2024-04-18,Mundaka,1.65,16.2,318,9.8,NE,baja,18.3,30,4,No
S100007,2024-07-03,Pantin,0.44,7.5,254,22.1,S,alta,21.7,24,4,Yes
S101282,2024-06-04,Sopela,0.91,14.9,250,14.3,NW,media,14.2,21,4,Yes
S100701,2022-09-30,Somo,0.62,9.6,335,23.3,W,alta,18.4,23,3,No
S100985,2024-10-10,Somo,0.47,16.3,342,6.9,S,media,15.8,17,4,Yes
S101375,2025-01-05,rodiles,0.56,7.9,288,,N,alta,16.0,18,4,No
S100020,2023-04-21,Somo,1.08,7.8,350,33.3,S,alta,17.5,26,5,Yes
S100789,2024-06-28,MUNDAKA,0.89,8.2,335,12.4,E,media,16.1,17,4,No
S100981,2024-02-12,Pantin,0.56,12.7,284,14.6,E,baja,15.8,21,4,Yes
S101051,2023-09-25,SOPELA,1.29,9.0,355,20.8,S,alta,15.8,24,4,No
S100204,2022-10-19,SOPELA,1.16,12.3,262,15.8,NE,alta,14.7,25,4,No
S101676,2024-07-16,Mundaka,0.89,7.9,298,,NE,baja,20.8,15,3,No
S100410,2024-10-03,Zarautz,0.71,11.6,275,38.1,SE,baja,17.6,19,4,No
S101231,2024-05-18,Pantin,1.43,8.7,320,25.8,S,baja,16.9,25,4,No
S100702,2023-12-17,Zarautz,1.71,3.0,270,13.2,S,baja,18.7,27,4,Yes
S100928,2024-06-19,SOPELA,0.62,12.4,262,10.2,W,baja,16.8,20,4,No
S101895,2022-11-22,rodiles,2.39,8.0,255,23.2,SE,alta,12.0,30,4,No
S101720,2022-09-15,Mundaka,1.16,10.0,254,16.9,SE,media,17.0,23,4,Yes
S100412,2022-11-17,Zarautz,1.37,10.7,310,2.8,S,alta,17.3,23,5,Yes
S101598,2022-09-14,Rodiles,1.46,9.1,304,13.4,NE,alta,12.3,30,4,Yes
S101926,2025-02-08,Sopela,1.56,9.2,324,3.2,,media,19.8,29,5,Yes
S101268,2023-10-31,Rodiles,1.42,14.7,360,9.4,SE,alta,18.2,25,5,Yes
S100185,2024-10-05,Sopela,1.47,13.7,250,30.4,S,alta,11.7,22,5,Yes
S100840,2023-05-13,ZARAUTZ,0.26,8.6,279,10.7,W,media, ,19,4,No
S101389,2024-07-08,RODILES,1.67,8.1,339,49.7,NE,baja,16.4,27,3,No
S100528,2024-09-26,rodiles,1.06,10.8,325,14.0,E,alta,12.8,21,4,No
S100229,2023-10-12,ZARAUTZ,0.84,6.1,277,,NW,alta,17.7,21,3,No
S100957,2024-12-17,SOMO,0.5,4.4,257,6.6,S,baja,17.9,12,3,No
S101371,2022-11-25,Sopela,0.7,9.9,286,,W,alta,17.5,23,3,No
S101194,2024-06-30,Somo,1.37,9.6,262,8.6,SE,baja,16.7,20,4,Yes
S100935,2023-05-30,rodiles,0.7,13.7,283,,S,alta, ,28,5,Yes
S101025,2025-02-06,Mundaka,1.76,3.0,327,,SW,media,18.9,28,3,No
S101751,2023-09-07,Rodiles,0.91,7.7,276,28.7,E,baja,18.4,25,3,No
S100051,2023-01-06,zarautz,1.44,9.5,274,41.0,SE,alta,22.5,24,4,Yes
S100036,2024-02-07,Rodiles,1.41,14.9,301,11.5,SW,media,18.4,27,5,Yes
S100375,2024-10-17,mundaka,0.57,9.4,317,10.0,SE,baja,18.5,23,4,No
S101278,2023-11-29,Mundaka,1.1,10.0,257,50.5,SE,media,21.0,21,4,No
S100419,2022-11-25,Somo,4.15,13.8,324,16.4,S,baja,17.9,35,2,No
S100872,2025-02-08,Mundaka,1.53,15.1,278,49.4,SE,baja,17.8,25,5,Yes
S101276,2023-04-25,Somo,1.91,4.1,257,15.6,E,baja,15.4,28,4,No
S101645,2023-12-29,Zarautz,0.5,10.4,348,31.0,NW,alta,16.8,16,3,No
S101123,2023-11-28,Zarautz ,3.62,7.0,342,3.3,SE,media, ,30,3,No
S100747,2023-01-25,Zarautz,0.91,10.6,252,8.6,W,baja,14.9,21,3,No
S101854,2024-07-04,Mundaka,0.65,4.4,345,11.4,W,baja,18.7,22,4,No
S101315,2023-09-11,Zarautz,2.52,11.3,282,9.2,SE,alta,19.6,20,4,No
S101902,2023-06-29,pantin,2.2,10.0,330,24.2,NW,media,18.9,24,3,No
S101532,2024-09-20,Rodiles,2.79,8.3,263,19.3,W,baja,15.9,26,3,No
S101780,2023-12-05,mundaka,0.26,11.2,294,17.2,SW,alta,17.5,24,4,No
S101493,2023-04-14,Zarautz,0.47,14.6,356,17.3,W,media,15.3,10,3,No
S101565,2024-12-18,Sopela,3.14,9.2,337,15.3,NE,alta,17.9,33,4,No
S101285,2024-09-04,mundaka,4.88,10.8,340,13.0,,alta,18.7,36,1,No
S100146,2023-12-30,Mundaka,1.4,7.1,318,,N,baja,18.5,31,4,No
S101695,2024-05-27,Pantin ,1.47,6.0,288,2.5,S,alta,16.8,25,5,Yes
S101742,2024-09-28,Sopela ,1.29,12.5,314,14.8,NE,baja,14.2,17,4,Yes
S100284,2023-10-25,Sopela,0.61,10.2,256,30.2,NE,baja,11.9,19,4,No
S100832,2023-09-27,Sopela,1.33,11.1,280,47.2,E,baja,20.2,25,3,No
S100707,2023-06-24,Somo,2.63,9.4,268,37.7,S,alta,16.3,31,4,No
S101946,2024-06-07,Mundaka,0.33,4.3,285,5.0,NW,alta,19.3,16,4,No
S101632,2025-02-08,Mundaka,1.26,5.1,327,,N,alta,16.4,23,4,No
S101792,2024-06-30,Sopela,0.34,9.4,312,5.6,,media,14.7,16,4,No
S100311,2023-06-26,Pantin,1.18,11.7,346,42.8,,alta,15.9,27,3,No
S101852,2023-04-13,Sopela,0.82,3.0,297,3.3,,media,16.9,19,3,No
S101151,2023-08-15,SOMO,0.61,12.7,359,4.0,S,media,17.9,18,4,Yes
S101969,2023-08-01,Mundaka ,2.48,11.4,358,14.0,S,media,13.0,23,5,Yes
S101321,2023-03-11,ZARAUTZ,0.27,12.4,353,22.9,NW,media,20.1,20,4,No
S101444,2024-05-01,Mundaka,1.85,8.5,349,10.4,,baja,22.0,17,4,Yes
S101849,2023-03-06,Mundaka,1.85,12.8,286,10.7,NW,alta, ,25,4,Yes
S101158,2023-01-18,Sopela,2.15,13.2,286,12.0,N,alta,13.8,31,4,Yes
S101804,2024-07-14,mundaka,1.01,10.2,256,5.3,N,baja,20.3,25,3,No
S101313,2023-01-21,Rodiles ,1.3,6.6,314,11.7,NW,alta,17.0,22,3,No
S101134,2022-09-15,Somo,3.03,7.8,263,28.2,NE,baja,17.7,31,3,No
S100721,2023-06-14,Rodiles,1.91,10.7,336,16.8,,alta,20.3,28,4,No
S101899,2023-05-24,Sopela,0.82,11.7,267,15.6,NW,alta,14.8,21,4,No
S101403,2023-04-08,Zarautz,1.91,11.9,300,32.3,NE,media,15.7,26,3,No
S100141,2022-09-15,Zarautz,3.91,8.1,327,3.1,S,media,19.1,31,2,No
S100936,2023-11-09,Mundaka,0.86,11.4,270,16.0,NW,baja,16.1,20,4,No
S100363,2023-04-20,RODILES,1.09,12.1,293,21.4,SW,baja, ,23,4,Yes
S101900,2022-12-12,Somo,0.41,11.3,351,10.2,E,baja,16.4,23,4,No
S100984,2025-01-09,Somo,2.42,7.4,314,7.7,W,media,14.5,28,3,No
S101125,2024-11-23,Rodiles,0.75,11.7,298,4.1,N,alta, ,18,4,No
S100956,2023-02-03,Sopela,0.88,14.4,330,7.5,W,media,20.0,30,4,No
S100353,2024-10-20,Sopela,1.16,9.0,250,,N,baja,18.2,25,3,No
S101011,2024-01-24,Pantin,1.61,10.0,287,21.9,N,baja,11.6,23,4,No
S100885,2022-10-07,Pantin,0.92,12.3,339,10.9,,baja,19.8,12,4,Yes
S100868,2024-07-04,Sopela,2.12,3.0,335,14.3,S,baja,17.9,25,3,No
S100800,2024-10-06,Mundaka,0.96,13.7,310,4.1,S,alta,16.8,13,4,Yes
S100360,2024-03-16,Rodiles,3.1,9.1,270,7.5,N,baja,11.0,34,4,No
S100716,2024-01-21,Somo,3.73,14.5,351,34.2,N,alta,17.3,30,2,No
S100681,2023-07-04,Mundaka,1.57,10.1,320,6.2,S,media,15.1,26,5,Yes
S101473,2023-04-18,Zarautz,2.46,11.2,275,23.5,N,baja,13.5,33,3,No
S101822,2022-09-27,ZARAUTZ,1.78,8.5,255,8.3,SE,alta,18.3,22,4,Yes
S101877,2023-11-22,Rodiles,2.03,4.5,315,,N,baja,15.0,23,3,No
S100179,2024-12-06,Somo ,0.78,6.1,289,4.2,SW,media,18.9,20,4,No
S100415,2022-10-27,Pantin,1.34,6.4,303,3.2,NW,media,14.1,16,3,No
S101358,2024-10-29,Mundaka,2.29,11.3,353,12.3,W,baja,18.4,23,4,No
S100392,2023-04-20,sopela,0.51,11.9,357,9.5,E,media,20.0,21,4,No
S100643,2023-09-26,Sopela ,1.07,9.6,276,16.2,NW,baja,18.8,22,3,No
S100758,2023-05-26,Mundaka,0.45,13.4,262,12.3,SE,media,18.0,25,3,No
S101122,2024-02-26,Zarautz,3.13,14.1,271,28.1,E,baja,15.4,29,3,No
S100361,2024-12-22,Rodiles,0.48,7.0,348,3.4,SW,baja,15.2,12,4,No
S100278,2022-10-05,Mundaka,1.3,8.3,281,5.5,E,baja,15.1,22,3,No
S100430,2024-10-07,Mundaka,3.31,12.8,308,16.6,SE,baja,17.9,27,4,No
S101963,2023-10-02,Pantin,0.94,7.3,276,4.5,NE,baja,17.1,20,4,No
S100725,2024-02-09,MUNDAKA,1.06,12.6,336,31.7,S,media,11.0,27,4,Yes
S100071,2024-05-28,Zarautz,2.02,9.8,254,20.3,SE,alta,19.5,24,4,No
S100237,2023-05-02,Sopela,0.78,7.8,282,19.5,SE,alta, ,10,3,No
S100748,2023-07-25,Zarautz,0.31,11.8,331,20.5,E,media,16.4,18,4,No
S101772,2024-02-03,Sopela,1.13,3.9,278,5.2,N,media,17.6,18,3,No
S100377,2023-01-07,Pantin,0.94,8.7,353,24.1,NE,baja,22.0,17,3,No
S101343,2024-03-03,Somo,1.96,5.2,356,20.7,N,baja,15.9,24,3,No
S101588,2022-11-30,Rodiles,1.42,15.5,309,10.2,,alta,20.9,26,5,Yes
S101987,2023-06-19,Zarautz,0.33,13.2,329,12.8,N,baja,14.9,18,3,No
S100200,2024-12-23,Sopela,1.13,8.6,319,19.8,S,media,18.4,24,4,Yes
S100572,2022-09-28,Zarautz,0.57,8.9,308,22.7,SW,media,16.8,17,4,Yes
S100756,2023-12-18,pantin,1.33,10.2,349,21.6,SE,media,13.1,33,4,Yes
S101120,2023-12-14,Mundaka,0.46,15.3,300,13.9,N,baja,16.4,16,3,No
S101774,2022-11-17,Pantin,0.27,13.6,293,16.0,,media,17.2,16,4,No
S101956,2024-05-11,somo,1.11,10.7,250,8.3,N,baja,16.4,22,4,No
S101910,2022-10-12,Mundaka,1.02,19.2,350,33.6,S,media,19.9,20,4,Yes
S101302,2024-12-27,Pantin,5.0,13.9,256,23.1,NW,alta,16.8,41,2,No
S101550,2023-07-17,Zarautz,0.63,15.5,335,14.4,,baja,18.3,23,4,No
S100620,2022-12-14,Sopela ,1.49,8.3,334,14.4,S,baja,21.3,16,4,Yes
S100905,2022-09-01,Pantin,1.69,12.2,334,,S,baja,16.4,32,4,Yes
S101729,2025-01-02,Mundaka,0.82,12.3,282,19.8,N,media,14.1,8,4,No
S100116,2024-09-29,mundaka,1.0,10.9,296,,SE,media,18.2,24,4,No
S101233,2023-07-26,Pantin,0.86,10.2,282,3.3,S,media,16.9,25,4,Yes
S100374,2023-01-10,Rodiles,1.1,11.4,308,1.9,E,alta,14.9,20,3,No
S101669,2023-05-20,Pantin,0.51,11.7,265,10.0,SW,alta,16.9,16,4,Yes
S101094,2025-01-25,Zarautz,0.45,4.9,305,33.6,E,baja,17.8,11,3,No
S100004,2023-10-26,Sopela,0.88,16.8,337,13.5,W,baja,17.1,24,4,Yes
S100299,2023-02-13,Mundaka,2.27,6.1,314,17.5,S,alta,15.9,23,3,No
S100046,2022-12-11,Sopela ,1.34,5.4,342,12.0,W,alta,20.2,23,3,No
S100325,2023-01-07,Zarautz,2.15,6.5,304,6.1,S,alta,16.3,23,4,No
S100367,2023-02-04,zarautz,0.47,8.9,311,16.6,S,alta,15.8,22,4,No
S101623,2023-01-02,Mundaka,1.52,17.1,274,11.8,S,alta,23.0,23,4,Yes
S100441,2023-05-05,ZARAUTZ,1.81,3.4,359,21.0,NE,media,15.8,18,3,No
S101381,2022-10-06,Zarautz,0.63,10.0,330,11.8,N,media,16.8,21,4,No
S100596,2024-10-15,Somo ,0.31,8.9,351,7.6,W,alta,14.0,17,3,No
S101999,2023-02-10,zarautz,0.23,11.3,262,5.8,SW,media,19.6,17,3,Yes
S101190,2023-11-03,sopela,1.85,11.3,343,16.3,SW,baja,15.5,29,3,No
S101171,2024-08-21,Somo,0.47,8.3,278,24.2,SE,media,19.2,31,4,No
S100757,2023-10-15,Sopela,0.26,14.5,322,20.7,E,alta,17.8,23,3,No
S101615,2024-03-20,Zarautz,0.81,10.7,355,,SE,alta,20.0,14,3,Yes
S100194,2023-06-17,Rodiles,0.55,7.5,358,34.5,NE,media,19.1,20,4,No
S100507,2023-11-15,Zarautz,0.6,10.7,306,54.7,S,alta,13.0,20,4,Yes
S100879,2024-02-19,Somo,1.47,10.5,265,14.1,E,baja,15.2,33,4,No
S101499,2023-02-28,Rodiles,0.47,16.1,252,6.5,N,alta,18.8,17,4,No
S100858,2023-09-21,Pantin,1.32,5.5,256,15.3,E,alta,23.0,19,4,No
S100351,2022-10-07,Mundaka,1.41,14.0,274,21.1,SW,baja,15.4,20,4,Yes
S100474,2023-04-06,Somo,0.27,14.0,261,12.3,N,baja,18.6,22,3,No
S101791,2024-03-12,RODILES,0.96,11.1,317,26.1,S,media,15.5,31,4,Yes
S100738,2023-08-01,Pantin,1.39,6.3,278,20.0,S,baja,15.1,26,4,Yes
S101855,2024-09-15,Rodiles,1.95,13.4,259,,S,media,16.5,17,4,Yes
S100341,2025-02-04,Zarautz,0.85,11.7,296,20.1,SE,alta,13.4,23,3,Yes
S101937,2023-09-24,somo,3.97,8.3,290,5.9,N,baja,15.4,32,3,No
S101118,2023-09-21,pantin,2.02,13.5,315,14.9,SW,media,21.2,32,4,No
S101306,2023-12-31,Zarautz,0.67,9.9,259,7.2,W,media,11.1,24,4,No
S100109,2024-03-07,Pantin ,2.17,7.2,304,13.0,SE,baja,18.3,24,3,No
S100795,2022-12-09,Zarautz,1.13,6.0,315,11.9,SW,media,18.4,24,4,Yes
S101022,2024-02-25,RODILES,0.43,14.1,317,,SE,baja,16.5,26,4,No
S101426,2024-02-03,PANTIN,1.07,10.5,342,13.2,SW,alta,17.4,20,4,No
S101830,2023-02-08,Sopela,1.35,12.7,290,18.2,N,baja,18.6,20,3,No
S100901,2024-05-15,MUNDAKA,1.75,9.7,349,,W,baja,19.8,26,3,No
S100339,2024-02-26,Rodiles,0.53,9.4,358,24.2,SE,alta,12.4,17,3,No
S101936,2023-02-17,Sopela,0.94,9.1,355,8.0,SE,media,11.1,24,4,Yes
S100095,2024-04-01,Zarautz,1.52,11.2,260,4.2,SW,media,15.2,25,4,Yes
S101417,2023-10-01,Sopela,3.31,10.5,326,14.2,N,baja,18.5,27,3,No
S101137,2024-09-23,Sopela,2.6,7.2,335,11.2,NE,media,16.8,25,3,No
S100019,2024-07-07,Sopela,2.57,13.3,285,13.7,SE,media,16.3,29,4,Yes
S100672,2023-06-28,Somo,0.97,7.9,347,5.9,N,baja,19.3,25,4,No
S101851,2024-01-18,Zarautz,1.11,9.1,356,20.6,S,baja,17.9,22,4,Yes
S100517,2024-01-22,Mundaka,1.78,7.9,324,16.3,NW,media,21.5,23,3,No
S100308,2023-08-23,ZARAUTZ,0.21,15.3,352,14.1,S,baja,16.3,17,4,No
